Site,Group\, Formation\, or Unit,Age,Continent,Country,Noteworthiness,Latitude,Longitude
Afar Depression,,Pliocene,Africa,Ethiopia,,11.5,41.0
Danakil Depression,,Pleistocene,Africa,Eritrea,Hominin,14.2417,40.3
,Ahl al Oughlam,Pliocene,Africa,Morocco,,33.56821111,-7.51186944
,Ameki Formation,Eocene,Africa,Nigeria,,6.0,7.0
Awash River,,Pliocene,Africa,Ethiopia,Hominin,11.1,40.57944444
Cradle of Humankind,,Pliocene – Pleistocene,Africa,South Africa,Hominin,-25.96716,27.66245
,Karoo Supergroup: Elliot Formation,Triassic – Jurassic,Africa,South Africa,Dinosaurs,-30.5,27.4
,Karoo Supergroup: Bahariya Formation,Cretaceous,Africa,Egypt,Dinosaurs,28.40555556,28.80555556
,Karoo Supergroup: Clarens Formation,Jurassic,Africa,South Africa,Dinosaurs,-30.5,27.4
,Karoo Supergroup: Molteno Formation,Triassic,Africa,South Africa,,-31.39611111,26.36305556
,Elrhaz Formation,Cretaceous,Africa,Niger,Dinosaurs,16.8,9.5
,Hadar Formation,Pliocene,Africa,Ethiopia,,11.12,40.58
,Bouri Formation,Pleistocene,Africa,Ethiopia,Hominin,11.1,40.579444
Hoedjiespunt,,Pleistocene,Africa,South Africa,Hominin,-33.02861111,17.95944444
Hoffmeyr,,Pleistocene,Africa,South Africa,Hominin,-31.56666667,25.96666667
Alnif,,Cambrian – Permian,Africa,Morocco,Trilobites,31.116667,-5.166667
Jebel Irhoud,,Pleistocene,Africa,Morocco,Hominin,31.855,-8.8725
,Jebel Qatrani Formation,Eocene – Oligocene,Africa,Egypt,Mammals\, birds,29.66229,30.62587
Golden Gate Highlands National Park,Karoo Supergroup,Permian – Jurassic,Africa,Southern Africa,,-28.50611111,28.61666667
Klasies River Caves,,Pleistocene,Africa,South Africa,Hominin,-34.10810278,24.39013889
Koobi Fora,,Pliocene – Pleistocene,Africa,Kenya,Hominin,3.94777778,36.18722222
Koro Toro,,Pliocene,Africa,Chad,Hominin,16.065,18.50083333
Laetoli,,Pliocene – Pleistocene,Africa,Tanzania,Hominin,-2.99611111,35.3525
Ledi-Geraru,,Pliocene,Africa,Ethiopia,Hominin,11.25,40.7
Lothagam,,Miocene – Pliocene,Africa,Kenya,Hominin and other mammals,2.92980,36.05630
,Maevarano Formation,Cretaceous,Africa,Madagascar,Non-Avian Dinosaurs,-15.9,46.6
Kem Kem Beds,,Cretaceous,Africa,Morocco,Non-Avian Dinosaurs,31.339564,-4.268189
Kamabai rock shelter,,Pleistocene,Africa,Sierra Leone,Hominin,9.15,-11.96666667
Olduvai Gorge,,Pliocene,Africa,Tanzania,Hominin,-2.993613,35.35115
,Omo Kibish Formation,Pliocene – Pleistocene,Africa,Ethiopia,Hominin,4.80035278,35.96706944
Orapa,,Cretaceous,Africa,Botswana,Flowering Plants\, Insects,-21.33388889,25.36472222
,Qasr el Sagha Formation,Eocene,Africa,Egypt,,29.5,30.5
Rusinga Island,,Miocene,Africa,Kenya,Hominin\, mammals,-0.4,34.16666667
,Shungura Formation,Pliocene – Pleistocene,Africa,Ethiopia,Hominin tools,5.1,36.0
Taung,,Pliocene,Africa,South Africa,Hominin,-27.53333333,24.78555556
,Tendaguru Formation,Jurassic,Africa,Tanzania,Non-Avian Dinosaurs,-9.7,39.2
West Coast Fossil Park,,Miocene - Pliocene,Africa,South Africa,,-32.9592,18.1172
Seymour Island,Cross Valley Formation,Paleocene,Antarctica,,,-64.23333333,-56.61666667
Seymour Island,La Meseta Formation,Eocene,Antarctica,,Birds\, particularly penguins,-64.239384,-56.603247
Seymour Island,López de Bertodano Formation,Cretaceous – Paleocene,Antarctica,,Non-Avian Dinosaurs\, Birds,-64,-57.4
Seymour Island,Sobral Formation,Paleocene,Antarctica,,,-64.3,-56.7
Vega Island,López de Bertodano Formation,Cretaceous – Paleocene,Antarctica,,Non-Avian Dinosaurs\, Birds,-63.83333333,-57.41666667
Longing Peninsula,Nordenskjöld Formation,Jurassic,Antarctica,,,-64.55,-58.83333333
,Hanson Formation,Jurassic,Antarctica,,Dinosaurs\, prosauropods\, trees,-84.3,166.5
,Prebble Formation,Jurassic,Antarctica,,,-84.3,166.5
James Ross Island,Santa Marta Formation,Cretaceous,Antarctica,,Dinosaurs,-63,-57
James Ross Island,Snow Hill Island Formation,Cretaceous,Antarctica,,Dinosaurs,-63.9,-57.9
,Falla Formation,Triassic,Antarctica,,,-84.3,166.5
,Fremouw Formation,Triassic,Antarctica,,,-84.0,165.0
Cumulus Hills,Thrinaxodon Col,Triassic,Antarctica,,,-85.33333333,-175.0
Ashfall Fossil Beds,Ash Hollow Formation,Miocene,North America,USA: Nebraska,Mammals,42.425,-98.15861111
Page-Ladson,,Pleistocene - Holocene,North America,USA: Florida,Hominin,30.23646,-83.92043
,Aztec Sandstone,Jurassic,North America,USA: Nevada\, California,Dinosaurs,35.4,-115.5
,Bainbridge Formation,Silurian,North America,USA: Missouri,,42.3,-75.5
,Bakken Formation,Devonian – Carboniferous,North America,USA: Montana\, North Dakota and Canada\: Saskatchewan,,48.3929,-102.9399
Cleveland's Glen\, Oneida County\, New York,Beecher's Trilobite Bed,Ordovician,North America,USA\: New York,Trilobites,43.21441,-75.40392
Mount Blanco,Blanco Formation,Pliocene - Pleistocene,North America,USA: Kansas\, Texas,Blancan fauna,33.791389,-101.253056
Blue Beach,,Carboniferous,North America,Canada: Nova Scotia,,45.09833333,-64.215
Bone Cabin Quarry,,Jurassic,North America,USA: Wyoming,Non-Avian Dinosaurs,41.916111,-106.064167
,Bridger Formation,Eocene,North America,USA: Wyoming,,43.171944,-109.674167
,Bromide Formation,Ordovician,North America,USA: Oklahoma,Trilobites\, Echinoderms,34,-97
Badlands National Park,Brule Formation,Oligocene,North America,USA\ South Dakota,Mammals\, sunfish\, cat fish,43.75,-102.5
Kootenay National Park,Burgess Shale,Cambrian,North America,Canada: British Columbia,,50.88305556,-116.04916667
Calvert Cliffs State Park,Calvert Formation,Miocene,North America,USA: Maryland,Middle Miocene Climate Transition and Middle Miocene disruption,38.40277778,-76.42194444
,Cedar Mountain Formation,Cretaceous,North America,USA: Colorado and Utah,Non-Avian Dinosaurs\, Amphibians\, Fish\, Mammals\, other reptiles,40.4,-109.3
,Cerro del Pueblo Formation,Cretaceous,North America,Mexico,Dinosaurs,26.1,-101.1
,Cerro Huerta Formation,Cretaceous,North America,Mexico,,26.1,-101.1
,Chandler Bridge Formation,Oligocene,North America,USA: South Carolina,,32.8,-79.8
Goodsell Ridge,Chazy Formation,Ordovician,North America,USA: Vermont,Early Reef\: bryozoa\, corals\, stromatoporoids,44.86638889,-73.33083333
,Clinton Group,Silurian,North America,USA: New York\, Pennsylvania\, Maryland\, West Virginia,,40.73472222,-77.77833333
